game_date,away_team,home_team,away_pct_538,home_pct_538
2021-04-11,MIA,NYM,37%,63%
2021-08-31,STL,CIN,44%,56%
2021-08-31,PHI,WSH,45%,55%
2021-08-31,BAL,TOR,29%,71%
2021-08-31,OAK,DET,52%,48%
2021-08-31,MIA,NYM,42%,58%
2021-08-31,BOS,TBR,40%,60%
2021-08-31,COL,TEX,53%,47%
2021-08-31,PIT,CHW,30%,70%
2021-08-31,CLE,KCR,53%,47%
2021-08-31,CHC,MIN,44%,56%
2021-08-31,NYY,LAA,56%,44%
2021-08-31,SDP,ARI,57%,43%
2021-08-31,MIL,SFG,50%,50%
2021-08-31,ATL,LAD,37%,63%
2021-08-31,HOU,SEA,58%,42%
2021-09-01,COL,TEX,54%,46%
2021-09-01,SDP,ARI,62%,38%
2021-09-01,HOU,SEA,56%,44%
2021-09-01,STL,CIN,42%,58%
2021-09-01,PHI,WSH,53%,47%
2021-09-01,NYY,LAA,63%,37%
2021-09-01,BAL,TOR,32%,68%
2021-09-01,OAK,DET,55%,45%
2021-09-01,MIA,NYM,40%,60%
2021-09-01,BOS,TBR,44%,56%
2021-09-01,PIT,CHW,28%,72%
2021-09-01,CLE,KCR,46%,54%
2021-09-01,CHC,MIN,43%,57%
2021-09-01,MIL,SFG,41%,59%
2021-09-01,ATL,LAD,37%,63%
2021-09-02,OAK,DET,56%,44%
2021-09-02,MIL,SFG,41%,59%
2021-09-02,MIA,NYM,44%,56%
2021-09-02,BOS,TBR,38%,62%
2021-09-02,PIT,CHC,41%,59%
2021-09-02,CLE,KCR,54%,46%
2021-09-02,ATL,COL,57%,43%
2021-09-03,PIT,CHC,40%,60%
2021-09-03,BAL,NYY,35%,65%
2021-09-03,NYM,WSH,53%,47%
2021-09-03,OAK,TOR,46%,54%
2021-09-03,CLE,BOS,43%,57%
2021-09-03,DET,CIN,40%,60%
2021-09-03,PHI,MIA,57%,43%
2021-09-03,MIN,TBR,36%,64%
2021-09-03,CHW,KCR,51%,49%
2021-09-03,STL,MIL,45%,55%
2021-09-03,ATL,COL,58%,42%
2021-09-03,TEX,LAA,38%,62%
2021-09-03,SEA,ARI,53%,47%
2021-09-03,LAD,SFG,52%,48%
2021-09-03,HOU,SDP,48%,52%
2021-09-04,BAL,NYY,27%,73%
2021-09-04,NYM,WSH,49%,51%
2021-09-04,PIT,CHC,37%,63%
2021-09-04,OAK,TOR,39%,61%
2021-09-04,CLE,BOS,41%,59%
2021-09-04,MIN,TBR,34%,66%
2021-09-04,NYM,WSH,51%,49%
2021-09-04,PHI,MIA,50%,50%
2021-09-04,DET,CIN,39%,61%
2021-09-04,CHW,KCR,59%,41%
2021-09-04,STL,MIL,44%,56%
2021-09-04,SEA,ARI,54%,46%
2021-09-04,ATL,COL,52%,48%
2021-09-04,HOU,SDP,56%,44%
2021-09-04,LAD,SFG,55%,45%
2021-09-04,TEX,LAA,38%,62%
2021-09-05,BAL,NYY,28%,72%
2021-09-05,NYM,WSH,51%,49%
2021-09-05,OAK,TOR,40%,60%
2021-09-05,CLE,BOS,45%,55%
2021-09-05,DET,CIN,40%,60%
2021-09-05,PHI,MIA,57%,43%
2021-09-05,MIN,TBR,33%,67%
2021-09-05,CHW,KCR,57%,43%
2021-09-05,STL,MIL,32%,68%
2021-09-05,PIT,CHC,42%,58%
2021-09-05,ATL,COL,61%,39%
2021-09-05,TEX,LAA,43%,57%
2021-09-05,SEA,ARI,53%,47%
2021-09-05,HOU,SDP,54%,46%
2021-09-05,LAD,SFG,59%,41%
2021-09-06,KCR,BAL,54%,46%
2021-09-06,TOR,NYY,43%,57%
2021-09-06,NYM,WSH,52%,48%
2021-09-06,TBR,BOS,52%,48%
2021-09-06,DET,PIT,56%,44%
2021-09-06,PHI,MIL,32%,68%
2021-09-06,CIN,CHC,56%,44%
2021-09-06,SFG,COL,59%,41%
2021-09-06,LAD,STL,63%,37%
2021-09-06,MIN,CLE,52%,48%
2021-09-06,SEA,HOU,35%,65%
2021-09-06,TEX,LAA,39%,61%
2021-09-07,MIN,CLE,44%,56%
2021-09-07,DET,PIT,51%,49%
2021-09-07,NYM,MIA,54%,46%
2021-09-07,KCR,BAL,55%,45%
