game_date,away_team,home_team,away_pct_538,home_pct_538
2021-09-07,MIN,CLE,42%,58%
2021-09-07,DET,PIT,52%,48%
2021-09-07,NYM,MIA,56%,44%
2021-09-07,KCR,BAL,52%,48%
2021-09-07,TOR,NYY,36%,64%
2021-09-07,TBR,BOS,54%,46%
2021-09-07,WSH,ATL,36%,64%
2021-09-07,CIN,CHC,52%,48%
2021-09-07,PHI,MIL,48%,52%
2021-09-07,LAD,STL,64%,36%
2021-09-07,SEA,HOU,39%,61%
2021-09-07,SFG,COL,63%,37%
2021-09-07,TEX,ARI,41%,59%
2021-09-07,CHW,OAK,45%,55%
2021-09-07,LAA,SDP,36%,64%
2021-09-08,SEA,HOU,38%,62%
2021-09-08,SFG,COL,58%,42%
2021-09-08,TEX,ARI,43%,57%
2021-09-08,MIN,CLE,41%,59%
2021-09-08,DET,PIT,50%,50%
2021-09-08,NYM,MIA,51%,49%
2021-09-08,KCR,BAL,55%,45%
2021-09-08,TOR,NYY,46%,54%
2021-09-08,TBR,BOS,53%,47%
2021-09-08,WSH,ATL,36%,64%
2021-09-08,CIN,CHC,47%,53%
2021-09-08,PHI,MIL,43%,57%
2021-09-08,LAD,STL,56%,44%
2021-09-08,LAA,SDP,38%,62%
2021-09-08,CHW,OAK,41%,59%
2021-09-09,LAD,STL,61%,39%
2021-09-09,CHW,OAK,45%,55%
2021-09-09,MIN,CLE,42%,58%
2021-09-09,NYM,MIA,58%,42%
2021-09-09,KCR,BAL,50%,50%
2021-09-09,TOR,NYY,46%,54%
2021-09-09,COL,PHI,43%,57%
2021-09-09,WSH,ATL,36%,64%
2021-09-10,SFG,CHC,55%,45%
2021-09-10,WSH,PIT,51%,49%
2021-09-10,TOR,BAL,65%,35%
2021-09-10,COL,PHI,49%,51%
2021-09-10,MIL,CLE,50%,50%
2021-09-10,TBR,DET,60%,40%
2021-09-10,NYY,NYM,54%,46%
2021-09-10,MIA,ATL,39%,61%
2021-09-10,BOS,CHW,47%,53%
2021-09-10,LAA,HOU,36%,64%
2021-09-10,KCR,MIN,42%,58%
2021-09-10,CIN,STL,52%,48%
2021-09-10,TEX,OAK,37%,63%
2021-09-10,SDP,LAD,38%,62%
2021-09-10,ARI,SEA,39%,61%
2021-09-11,SFG,CHC,58%,42%
2021-09-11,TEX,OAK,39%,61%
2021-09-11,TOR,BAL,65%,35%
2021-09-11,COL,PHI,35%,65%
2021-09-11,MIL,CLE,55%,45%
2021-09-11,TBR,DET,61%,39%
2021-09-11,WSH,PIT,56%,44%
2021-09-11,BOS,CHW,46%,54%
2021-09-11,LAA,HOU,40%,60%
2021-09-11,KCR,MIN,47%,53%
2021-09-11,CIN,STL,49%,51%
2021-09-11,MIA,ATL,32%,68%
2021-09-11,TOR,BAL,64%,36%
2021-09-11,NYY,NYM,54%,46%
2021-09-11,SDP,LAD,31%,69%
2021-09-11,ARI,SEA,38%,62%
2021-09-12,TBR,DET,58%,42%
2021-09-12,TOR,BAL,61%,39%
2021-09-12,COL,PHI,35%,65%
2021-09-12,WSH,PIT,54%,46%
2021-09-12,MIL,CLE,60%,40%
2021-09-12,MIA,ATL,32%,68%
2021-09-12,BOS,CHW,48%,52%
2021-09-12,LAA,HOU,33%,67%
2021-09-12,KCR,MIN,38%,62%
2021-09-12,CIN,STL,53%,47%
2021-09-12,SFG,CHC,58%,42%
2021-09-12,TEX,OAK,35%,65%
2021-09-12,SDP,LAD,39%,61%
2021-09-12,ARI,SEA,41%,59%
2021-09-12,NYY,NYM,57%,43%
2021-09-13,MIN,NYY,38%,62%
2021-09-13,MIA,WSH,50%,50%
2021-09-13,TBR,TOR,51%,49%
2021-09-13,STL,NYM,48%,52%
2021-09-13,HOU,TEX,62%,38%
2021-09-13,SDP,SFG,45%,55%
2021-09-13,ARI,LAD,28%,72%
2021-09-13,BOS,SEA,51%,49%
2021-09-14,CLE,MIN,52%,48%
2021-09-14,CIN,PIT,58%,42%
2021-09-14,MIL,DET,53%,47%
2021-09-14,NYY,BAL,61%,39%
2021-09-14,CHC,PHI,39%,61%
2021-09-14,MIA,WSH,44%,56%
2021-09-14,TBR,TOR,51%,49%
2021-09-14,STL,NYM,42%,58%
