game_date,away_team,home_team,away_pct_538,home_pct_538
2021-09-08,SFG,COL,58%,42%
2021-09-08,TEX,ARI,44%,56%
2021-09-08,MIN,CLE,42%,58%
2021-09-08,DET,PIT,50%,50%
2021-09-08,NYM,MIA,51%,49%
2021-09-08,KCR,BAL,55%,45%
2021-09-08,TOR,NYY,46%,54%
2021-09-08,TBR,BOS,53%,47%
2021-09-08,WSH,ATL,40%,60%
2021-09-08,CIN,CHC,47%,53%
2021-09-08,PHI,MIL,42%,58%
2021-09-08,LAD,STL,50%,50%
2021-09-08,LAA,SDP,36%,64%
2021-09-08,CHW,OAK,41%,59%
2021-09-09,LAD,STL,64%,36%
2021-09-09,CHW,OAK,45%,55%
2021-09-09,MIN,CLE,43%,57%
2021-09-09,NYM,MIA,58%,42%
2021-09-09,KCR,BAL,49%,51%
2021-09-09,TOR,NYY,50%,50%
2021-09-09,COL,PHI,43%,57%
2021-09-09,WSH,ATL,36%,64%
2021-09-10,SFG,CHC,56%,44%
2021-09-10,WSH,PIT,51%,49%
2021-09-10,TOR,BAL,65%,35%
2021-09-10,COL,PHI,43%,57%
2021-09-10,MIL,CLE,51%,49%
2021-09-10,TBR,DET,60%,40%
2021-09-10,NYY,NYM,53%,47%
2021-09-10,MIA,ATL,39%,61%
2021-09-10,BOS,CHW,46%,54%
2021-09-10,LAA,HOU,36%,64%
2021-09-10,KCR,MIN,42%,58%
2021-09-10,CIN,STL,53%,47%
2021-09-10,TEX,OAK,41%,59%
2021-09-10,SDP,LAD,37%,63%
2021-09-10,ARI,SEA,38%,62%
2021-09-11,SFG,CHC,58%,42%
2021-09-11,TEX,OAK,37%,63%
2021-09-11,TOR,BAL,65%,35%
2021-09-11,COL,PHI,35%,65%
2021-09-11,MIL,CLE,56%,44%
2021-09-11,TBR,DET,59%,41%
2021-09-11,WSH,PIT,56%,44%
2021-09-11,BOS,CHW,45%,55%
2021-09-11,LAA,HOU,40%,60%
2021-09-11,KCR,MIN,47%,53%
2021-09-11,CIN,STL,49%,51%
2021-09-11,MIA,ATL,32%,68%
2021-09-11,TOR,BAL,64%,36%
2021-09-11,NYY,NYM,54%,46%
2021-09-11,SDP,LAD,31%,69%
2021-09-11,ARI,SEA,37%,63%
2021-09-12,TBR,DET,59%,41%
2021-09-12,TOR,BAL,61%,39%
2021-09-12,COL,PHI,35%,65%
2021-09-12,WSH,PIT,54%,46%
2021-09-12,MIL,CLE,61%,39%
2021-09-12,MIA,ATL,31%,69%
2021-09-12,BOS,CHW,47%,53%
2021-09-12,LAA,HOU,33%,67%
2021-09-12,KCR,MIN,38%,62%
2021-09-12,CIN,STL,54%,46%
2021-09-12,SFG,CHC,59%,41%
2021-09-12,TEX,OAK,36%,64%
2021-09-12,SDP,LAD,39%,61%
2021-09-12,ARI,SEA,40%,60%
2021-09-12,NYY,NYM,50%,50%
2021-09-13,MIN,NYY,38%,62%
2021-09-13,MIA,WSH,50%,50%
2021-09-13,TBR,TOR,50%,50%
2021-09-13,STL,NYM,47%,53%
2021-09-13,HOU,TEX,60%,40%
2021-09-13,SDP,SFG,44%,56%
2021-09-13,ARI,LAD,28%,72%
2021-09-13,BOS,SEA,50%,50%
2021-09-14,CLE,MIN,52%,48%
2021-09-14,CIN,PIT,59%,41%
2021-09-14,MIL,DET,56%,44%
2021-09-14,NYY,BAL,63%,37%
2021-09-14,CHC,PHI,39%,61%
2021-09-14,MIA,WSH,44%,56%
2021-09-14,TBR,TOR,51%,49%
2021-09-14,STL,NYM,42%,58%
2021-09-14,COL,ATL,40%,60%
2021-09-14,CLE,MIN,51%,49%
2021-09-14,HOU,TEX,65%,35%
2021-09-14,LAA,CHW,44%,56%
2021-09-14,OAK,KCR,60%,40%
2021-09-14,SDP,SFG,37%,63%
2021-09-14,ARI,LAD,26%,74%
2021-09-14,BOS,SEA,52%,48%
2021-09-15,MIA,WSH,50%,50%
2021-09-15,MIL,DET,61%,39%
2021-09-15,TBR,TOR,49%,51%
2021-09-15,BOS,SEA,51%,49%
2021-09-15,CIN,PIT,57%,43%
2021-09-15,NYY,BAL,57%,43%
2021-09-15,CHC,PHI,44%,56%
2021-09-15,STL,NYM,41%,59%
